"scenario","region","subRegion","param","sources","class","x","xLabel","vintage","units","aggregate","classLabel","classPalette","origScen","origQuery","origUnits","origX","value"
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2040,"Year","Vint_2040","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2040,17.4176755526668
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2040,"Year","Vint_2040","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2040,392.539235592655
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2045,"Year","Vint_2045","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2045,20.9011630985122
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2045,"Year","Vint_2045","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2045,628.480221231144
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2050,"Year","Vint_2050","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2050,24.3846506443575
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2050,"Year","Vint_2050","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2050,925.287779892122
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2055,"Year","Vint_2055","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2055,27.8681381902029
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2055,"Year","Vint_2055","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2055,1288.21422717222
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2060,"Year","Vint_2060","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2060,31.3517509062798
"jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","Africa_Eastern","Africa_Eastern","elecCumCapCost","Sources","class2",2060,"Year","Vint_2060","New Elec Cap Cost (billion 2015 USD)","sum","classLabel2","classPalette2","jaw_LAC_s2e0hcif0c0i0b0n0l0t0h0","elec gen by gen tech and cooling tech and vintage","billion 2015 USD",2060,1710.36202929723
